,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
2963,2963,4.8954558,Watched,['Music'],12601.0,469530.0,272.0,35929256.0,2019,12,11,21,57,2,https://www.youtube.com/watch?v=t6fPzVNIEB0,EXO-K 엑소케이 'WHAT IS LOVE' MV (Korean Ver.),youtube,,2019-12-11 21:57:00
2962,2962,4.9027891,Watched,['Music'],2765.0,111008.0,236.0,4490034.0,2019,12,11,21,58,2,https://www.youtube.com/watch?v=YRk6djub7V4,ZHOUMI 조미 'Rewind (挽回) (feat. TAO of EXO)' MV,youtube,,2019-12-11 21:58:00
2961,2961,4.8912587,Watched,['Music'],19261.0,689247.0,229.0,80399978.0,2019,12,11,22,2,2,https://www.youtube.com/watch?v=vdejiaoEhFc,,youtube,,2019-12-11 22:02:00
2960,2960,4.9023499,Watched,['Music'],28309.0,1131303.0,204.0,62426262.0,2019,12,11,22,2,2,https://www.youtube.com/watch?v=AOzVyVv1HtQ,,youtube,,2019-12-11 22:02:00
2958,2958,4.9121332,Watched,['Music'],4263.0,189803.0,229.0,16814559.0,2019,12,11,22,3,2,https://www.youtube.com/watch?v=i1xFTx8alMU,EXO-M 엑소엠 'History' MV (Chinese Ver.),youtube,,2019-12-11 22:03:00
2959,2959,4.9185176,Watched,['Music'],9219.0,443346.0,261.0,27422082.0,2019,12,11,22,3,2,https://www.youtube.com/watch?v=MjXHE2foamc,EXO-M 엑소엠 '上瘾(Overdose)' MV,youtube,,2019-12-11 22:03:00
2957,2957,4.959105999999999,Watched,['Entertainment'],688.0,66608.0,220.0,6572552.0,2019,12,11,22,7,2,https://www.youtube.com/watch?v=G6tW8eKUR1E,,youtube,,2019-12-11 22:07:00
2956,2956,4.8818183,Watched,['Music'],35262.0,1158220.0,218.0,122470931.0,2019,12,11,22,11,2,https://www.youtube.com/watch?v=d9IxdwEFk1c,,youtube,,2019-12-11 22:11:00
2955,2955,4.9529543,Watched,['Entertainment'],13244.0,1112811.0,222.0,41893752.0,2019,12,11,22,15,2,https://www.youtube.com/watch?v=D1PvIWdJ8xo,[MV] IU(아이유) _ Blueming(블루밍),youtube,,2019-12-11 22:15:00
2954,2954,4.916020400000001,Watched,['Entertainment'],2106.0,98204.0,241.0,16297606.0,2019,12,11,22,19,2,https://www.youtube.com/watch?v=cFlSVJ7ORxs,,youtube,,2019-12-11 22:19:00
2953,2953,4.8868752,Watched,['Music'],19765.0,679108.0,238.0,106103995.0,2019,12,11,22,23,2,https://www.youtube.com/watch?v=Dww9UjJ4Dt8,,youtube,,2019-12-11 22:23:00
2952,2952,4.8389072,Watched,['Music'],144316.0,3439114.0,196.0,239817205.0,2019,12,11,22,24,2,https://www.youtube.com/watch?v=IdssuxDdqKk,,youtube,,2019-12-11 22:24:00
2951,2951,4.7008696,Watched,['Music'],43.0,532.0,177.0,25425.0,2019,12,11,22,27,2,https://www.youtube.com/watch?v=SeqFcPmr2v0,双月之夜 (Two Moons) feat. KEY (SHINee),youtube,,2019-12-11 22:27:00
2950,2950,4.8432736,Watched,['Music'],90.0,2207.0,232.0,800133.0,2019,12,11,22,30,2,https://www.youtube.com/watch?v=kF6Kga250GM,,youtube,,2019-12-11 22:30:00
2949,2949,4.8583107000000005,Watched,['Music'],52.0,1416.0,248.0,514511.0,2019,12,11,22,39,2,https://www.youtube.com/watch?v=6xtNOuwxcXY,,youtube,,2019-12-11 22:39:00
2948,2948,4.894424400000001,Watched,['Entertainment'],80.0,2951.0,261.0,833159.0,2019,12,11,22,44,2,https://www.youtube.com/watch?v=MBCPzULxJTA,,youtube,,2019-12-11 22:44:00
2947,2947,4.8449106,Watched,['Music'],403.0,9991.0,282.0,4472857.0,2019,12,11,22,49,2,https://www.youtube.com/watch?v=KhBHEqyv-sU,,youtube,,2019-12-11 22:49:00
2946,2946,4.8638205999999995,Watched,['Entertainment'],1968.0,55838.0,199.0,10688553.0,2019,12,11,22,53,2,https://www.youtube.com/watch?v=M7GkL--nb5M,,youtube,,2019-12-11 22:53:00
2945,2945,4.8719459,Watched,['Music'],283.0,8557.0,276.0,1928839.0,2019,12,11,22,57,2,https://www.youtube.com/watch?v=zFhklNnRXhM,唐嫣 & 罗晋 - 天赋 (锦绣未央 片尾曲) 完整版MV,youtube,,2019-12-11 22:57:00
2944,2944,4.8474193,Watched,['Music'],960.0,24207.0,246.0,10754679.0,2019,12,11,23,2,2,https://www.youtube.com/watch?v=sGsCc34EgeI,,youtube,,2019-12-11 23:02:00
2943,2943,4.282051099999999,Watched,['Music'],7.0,32.0,214.0,3677.0,2019,12,11,23,6,2,https://www.youtube.com/watch?v=e_QIbFZ3DJc,Don't Go 蝴蝶少女,youtube,,2019-12-11 23:06:00
2942,2942,4.8770256,Watched,['Music'],1791.0,56464.0,369.0,12451328.0,2019,12,11,23,9,2,https://www.youtube.com/watch?v=KqjgLbKZ1h0,胡夏 Xia Hu - Those Bygone Years 那些年,youtube,,2019-12-11 23:09:00
